GEOID,Location,POP,Total_Households,Median_HH_Income,Low_Income_HH,Low_Income_Rate,HH_SNAP,SNAP_Rate,HH_Public_Assistance,Public_Assistance_Rate,Children_0_17,Children_0_4,Children_5_17,Child_Dependency_Rate,Elderly_65_Plus,Elderly_65_74,Elderly_75_Plus,Elderly_Dependency_Rate,Total_Dependency_Rate,HH_With_Children,HH_With_Children_Rate,Single_Parent_HH,Single_Parent_Rate,Renter_Occupied,Renter_Rate,Vacant_Housing_Units,Vacancy_Rate,Built_Before_1940,Old_Housing_Rate,Total_Workers,Workers_No_Car,No_Car_Rate,HH_No_Internet,No_Internet_Rate
295101014003,"Block Group 3, Tract 101400, St. Louis City",704,379,74732.0,83,0.21899736147757257,13,0.03430079155672823,0,0.0,110,38,72,0.15625,111,82,29,0.15767045454545456,0.31392045454545453,65,0.17150395778364116,0,0.0,113,0.29815303430079154,21,0.0525,289,0.7225,434,139,0.32027649769585254,31,0.08179419525065963
295101015001,"Block Group 1, Tract 101500, St. Louis City",931,454,48947.0,105,0.23127753303964757,126,0.2775330396475771,32,0.07048458149779736,228,28,200,0.24489795918367346,157,67,90,0.1686358754027927,0.41353383458646614,80,0.1762114537444934,0,0.0,195,0.42951541850220265,98,0.17753623188405798,286,0.5181159420289855,309,23,0.0744336569579288,92,0.2026431718061674
295101015002,"Block Group 2, Tract 101500, St. Louis City",1751,828,36276.0,228,0.2753623188405797,149,0.17995169082125603,8,0.00966183574879227,217,9,208,0.12392918332381496,149,88,61,0.08509423186750428,0.20902341519131926,137,0.16545893719806765,8,0.00966183574879227,497,0.6002415458937198,307,0.27048458149779736,838,0.7383259911894273,1009,98,0.09712586719524281,143,0.17270531400966183
295101018001,"Block Group 1, Tract 101800, St. Louis City",729,253,62694.0,43,0.16996047430830039,99,0.391304347826087,0,0.0,239,18,221,0.3278463648834019,56,56,0,0.07681755829903979,0.4046639231824417,106,0.4189723320158103,4,0.015810276679841896,101,0.39920948616600793,88,0.25806451612903225,208,0.6099706744868035,251,84,0.3346613545816733,57,0.22529644268774704
295101018002,"Block Group 2, Tract 101800, St. Louis City",958,441,23505.0,306,0.6938775510204082,162,0.3673469387755102,0,0.0,130,36,94,0.13569937369519833,233,214,19,0.24321503131524008,0.37891440501043844,65,0.1473922902494331,22,0.049886621315192746,215,0.4875283446712018,60,0.11976047904191617,457,0.9121756487025948,246,45,0.18292682926829268,174,0.3945578231292517
295101018003,"Block Group 3, Tract 101800, St. Louis City",972,391,55650.0,87,0.22250639386189258,103,0.26342710997442453,57,0.14578005115089515,181,60,121,0.18621399176954734,105,77,28,0.10802469135802469,0.294238683127572,108,0.27621483375959077,0,0.0,252,0.6445012787723785,112,0.22266401590457258,389,0.7733598409542743,542,165,0.3044280442804428,50,0.1278772378516624
295101018004,"Block Group 4, Tract 101800, St. Louis City",487,161,50972.0,18,0.11180124223602485,38,0.2360248447204969,0,0.0,243,69,174,0.4989733059548255,12,0,12,0.024640657084188913,0.5236139630390144,109,0.6770186335403726,0,0.0,112,0.6956521739130435,92,0.36363636363636365,247,0.9762845849802372,259,6,0.023166023166023165,18,0.11180124223602485
295101021001,"Block Group 1, Tract 102100, St. Louis City",875,429,61679.0,27,0.06293706293706294,55,0.1282051282051282,8,0.018648018648018648,123,57,66,0.14057142857142857,98,83,15,0.112,0.25257142857142856,58,0.1351981351981352,6,0.013986013986013986,146,0.34032634032634035,27,0.05921052631578947,352,0.7719298245614035,630,49,0.07777777777777778,6,0.013986013986013986
295101021002,"Block Group 2, Tract 102100, St. Louis City",857,526,54444.0,83,0.15779467680608364,7,0.013307984790874524,0,0.0,86,35,51,0.10035005834305717,153,91,62,0.17852975495915985,0.27887981330221706,43,0.0817490494296578,0,0.0,215,0.40874524714828897,24,0.04363636363636364,261,0.47454545454545455,527,129,0.24478178368121442,88,0.16730038022813687
295101021003,"Block Group 3, Tract 102100, St. Louis City",678,479,53819.0,108,0.2254697286012526,19,0.03966597077244259,10,0.020876826722338204,61,37,24,0.08997050147492626,151,110,41,0.22271386430678466,0.31268436578171094,33,0.06889352818371608,0,0.0,403,0.8413361169102297,127,0.20957095709570958,79,0.13036303630363036,382,111,0.2905759162303665,66,0.13778705636743216
295101022001,"Block Group 1, Tract 102200, St. Louis City",580,310,74167.0,56,0.18064516129032257,26,0.08387096774193549,26,0.08387096774193549,48,48,0,0.08275862068965517,104,42,62,0.1793103448275862,0.2620689655172414,50,0.16129032258064516,0,0.0,52,0.16774193548387098,83,0.21119592875318066,343,0.8727735368956743,361,6,0.01662049861495845,41,0.13225806451612904
295101022002,"Block Group 2, Tract 102200, St. Louis City",553,306,53438.0,45,0.14705882352941177,15,0.049019607843137254,0,0.0,112,29,83,0.20253164556962025,104,47,57,0.18806509945750452,0.39059674502712477,106,0.3464052287581699,12,0.0392156862745098,115,0.3758169934640523,74,0.19473684210526315,353,0.9289473684210526,231,32,0.13852813852813853,16,0.05228758169934641
295101022003,"Block Group 3, Tract 102200, St. Louis City",655,368,85769.0,0,0.0,0,0.0,0,0.0,63,33,30,0.09618320610687023,44,14,30,0.06717557251908397,0.1633587786259542,67,0.18206521739130435,14,0.03804347826086957,83,0.22554347826086957,0,0.0,319,0.8668478260869565,465,145,0.3118279569892473,33,0.08967391304347826
295101022004,"Block Group 4, Tract 102200, St. Louis City",846,435,105255.0,63,0.14482758620689656,0,0.0,0,0.0,89,0,89,0.10520094562647754,74,11,63,0.08747044917257683,0.19267139479905437,76,0.17471264367816092,0,0.0,99,0.22758620689655173,0,0.0,133,0.3057471264367816,687,14,0.020378457059679767,61,0.14022988505747128
295101022005,"Block Group 5, Tract 102200, St. Louis City",1012,421,122961.0,31,0.07363420427553444,41,0.09738717339667459,0,0.0,189,100,89,0.18675889328063242,211,112,99,0.208498023715415,0.3952569169960474,93,0.2209026128266033,0,0.0,74,0.17577197149643706,0,0.0,262,0.6223277909738717,577,77,0.13344887348353554,41,0.09738717339667459
295101022006,"Block Group 6, Tract 102200, St. Louis City",836,360,106190.0,23,0.06388888888888888,0,0.0,0,0.0,137,43,94,0.1638755980861244,396,155,241,0.47368421052631576,0.6375598086124402,57,0.15833333333333333,0,0.0,4,0.011111111111111112,42,0.1044776119402985,13,0.03233830845771144,311,44,0.1414790996784566,32,0.08888888888888889
295101022007,"Block Group 7, Tract 102200, St. Louis City",810,459,85625.0,34,0.07407407407407407,0,0.0,13,0.02832244008714597,77,18,59,0.09506172839506173,420,337,83,0.5185185185185185,0.6135802469135803,72,0.1568627450980392,0,0.0,38,0.08278867102396514,0,0.0,0,0.0,310,33,0.1064516129032258,80,0.17429193899782136
295101023001,"Block Group 1, Tract 102300, St. Louis City",1801,616,64891.0,80,0.12987012987012986,119,0.19318181818181818,4,0.006493506493506494,424,45,379,0.2354247640199889,176,114,62,0.0977234869516935,0.3331482509716824,193,0.3133116883116883,6,0.00974025974025974,201,0.3262987012987013,13,0.02066772655007949,228,0.3624801271860095,938,61,0.0650319829424307,102,0.16558441558441558
295101023002,"Block Group 2, Tract 102300, St. Louis City",767,399,51058.0,138,0.3458646616541353,117,0.2932330827067669,0,0.0,104,34,70,0.13559322033898305,233,183,50,0.30378096479791394,0.439374185136897,174,0.43609022556390975,0,0.0,162,0.40601503759398494,16,0.03855421686746988,50,0.12048192771084337,421,35,0.0831353919239905,22,0.05513784461152882
